Employee ID [One-time] ✅,Employee Name [One-time] ✅,Designation [One-time] ✅,Department [One-time] ✅,Net Salary (INR) [Monthly] 🔁,Bank Account Number [One-time] ✅,IFSC Code [One-time] ✅,Pay PF? (Yes/No) [Auto-filled] 🤖,Employee PF Amount (INR) [Monthly] 🔁,Employer PF Amount (INR) [Monthly] 🔁,Pay ESI? (Yes/No) [Auto-filled] 🤖,Employee ESI Amount (INR) [Monthly] 🔁,Employer ESI Amount (INR) [Monthly] 🔁,TDS Applicable? (Yes/No) [Auto-filled] 🤖,TDS Amount (INR) [Monthly] 🔁,Professional Tax Applicable? (Yes/No) [Auto-filled] 🤖,Professional Tax (INR) [Monthly] 🔁,Mobile Number [One-time] ✅,Email ID [One-time] ✅,Employee Type (Full-time/Contract) [One-time] ✅,Date of Joining (YYYY-MM-DD) [One-time] ✅,UAN Number [One-time] ✅,ESI Number [One-time] ✅,PAN Number [One-time] ✅,Monthly Gross (INR) [Monthly] 🔁,Total Working Days [Monthly] 🔁,Days Attended [Monthly] 🔁,LOP Days [Monthly] 🔁,LOP Deduction (INR) [Monthly] 🔁,Monthly Incentive (INR) [Monthly] 🔁,One-Time Bonus (INR) [Monthly] 🔁,Loan EMI Deduction (INR) [Monthly] 🔁,Other Deductions (INR) [Monthly] 🔁,Is Final Settlement? (Yes/No) [Monthly] 🔁
EMP0010,Sneha P,Executive,HR,18959,836745267209,SBIN4375694,Yes,2395,2595,Yes,349,948,Yes,998,Yes,200,9273879115,sneha.p@aaro7.com,Contract,2022-05-27,622817548348,9815691639,ABCDE5455F,19962,30,27,3,1996,1000,0,0,0,Yes
EMP0011,Sneha P,Executive,HR,59919,116041474568,SBIN8009768,Yes,7324,7934,Yes,1068,2899,Yes,3051,Yes,200,9790251906,sneha.p@aaro7.com,Full-time,2024-11-02,953052424384,5557708255,ABCDE5397F,61034,30,30,0,0,500,0,0,200,Yes
EMP0012,Sneha S,Engineer,Sales,23327,258036837384,SBIN2652889,Yes,3266,3539,Yes,476,1293,Yes,1361,Yes,200,9115603537,sneha.s@aaro7.com,Full-time,2022-09-13,535910892490,8263772437,ABCDE1200F,27224,30,28,2,1814,0,0,0,0,No
EMP0013,Priya P,Manager,Finance,59968,476393509474,SBIN8018207,Yes,7694,8335,Yes,1122,3045,Yes,3205,Yes,200,9932716383,priya.p@aaro7.com,Full-time,2019-01-05,272712125464,1734176597,ABCDE7897F,64119,30,25,5,10686,1000,0,500,200,No
EMP0014,Anil S,Manager,Tech,23771,482256980686,SBIN9037729,Yes,3114,3374,Yes,454,1232,Yes,1297,Yes,200,9693279848,anil.s@aaro7.com,Full-time,2024-04-24,663436346298,8411003199,ABCDE9023F,25955,30,26,4,3460,0,0,500,200,No
EMP0015,Neha P,Analyst,Finance,57437,171750149255,SBIN3779855,Yes,7444,8065,Yes,1085,2946,Yes,3101,Yes,200,9839404363,neha.p@aaro7.com,Contract,2018-02-14,114664233195,2370960537,ABCDE9078F,62039,30,26,4,8271,1000,0,0,0,No
EMP0016,Karan P,Manager,Sales,43774,294702806727,SBIN6094337,Yes,5797,6280,Yes,845,2294,Yes,2415,Yes,200,9255752234,karan.p@aaro7.com,Contract,2022-07-13,429684086430,1442838206,ABCDE5305F,48314,30,29,1,1610,0,0,500,200,Yes
EMP0017,Pooja S,Executive,Support,52225,418189749552,SBIN2089660,Yes,6436,6973,Yes,938,2547,Yes,2682,Yes,200,9316608408,pooja.s@aaro7.com,Contract,2017-01-14,920532344542,9686532391,ABCDE5393F,53640,30,29,1,1788,1000,0,500,200,No
EMP0018,Anil S,Engineer,Support,23516,659461460325,SBIN3278069,Yes,3394,3676,Yes,494,1343,Yes,1414,Yes,200,9546798133,anil.s@aaro7.com,Contract,2024-06-22,762049005446,2189122044,ABCDE7879F,28284,30,27,3,2828,0,1000,0,200,No
EMP0019,Karan P,Analyst,Tech,46888,889475380998,SBIN6355039,Yes,6004,6504,Yes,875,2376,Yes,2501,Yes,200,9125705439,karan.p@aaro7.com,Contract,2021-09-17,504692334383,1334109276,ABCDE1258F,50037,30,27,3,5003,0,0,0,0,Yes
EMP0020,Anita R,Analyst,Tech,17659,435771262337,SBIN5503289,Yes,2515,2725,Yes,366,995,Yes,1048,Yes,200,9180593636,anita.r@aaro7.com,Full-time,2022-04-18,623599617944,8961974214,ABCDE1814F,20963,30,27,3,2096,0,1000,500,200,No
